date,team_a,team_b,team_a_elo,team_b_elo,team_a_ranking,team_a_rating,team_a_goals_per_game,team_a_avg_possession,team_a_pass_accuracy,team_a_shots_per_game,team_a_tackles_per_game,team_a_dribble_per_game,team_a_coach_ranking,team_b_ranking,team_b_rating,team_b_goals_per_game,team_b_avg_possession,team_b_pass_accuracy,team_b_shots_per_game,team_b_tackles_per_game,team_b_dribble_per_game,team_b_coach_ranking,team_home,results,total match goals
05/05/2018,afc_bournemouth,swansea_city,1655,1643,203,6.65,1.2,48.5,77,12.2,13.4,9,154,207,6.59,0.7,46,78.2,8.9,16.1,8.4,300,1,1,
05/05/2018,leicester_city,west_ham_united,1699,1641,162,6.74,1.5,48.3,74.7,11.1,16.6,11.1,152,199,6.72,1.3,46.5,75.5,9.8,16.4,11.2,225,1,2,
05/05/2018,everton,southampton,1712,1641,128,6.67,1.2,46.7,74.3,9.4,16.9,6.9,180,197,6.67,1,51,77.5,11.8,17.3,10,239,1,0,
05/05/2018,west_bromwich_albion,tottenham_hotspur,1613,1922,323,6.63,0.8,42.8,72.4,9.9,15.9,8.4,620,19,6.95,1.9,58.8,83.8,16.4,16.3,11.5,13,1,1,
05/05/2018,watford,newcastle_united,1619,1658,235,6.66,1.2,49.3,75.5,11.6,17.6,8.7,452,211,6.72,1,43.8,72.3,11.9,16.9,8,168,1,1,
05/05/2018,stoke_city,cystal_palace,1626,1675,304,6.7,0.9,43.7,71.5,10.1,17.9,8.9,599,185,6.84,1.2,46.9,75.4,12.5,18,12.7,151,1,2,
11/8/2017,arsenal,leicester_city,1845,1714,25,6.92,1.9,58.5,84.3,15.6,16.4,10.1,25,162,6.74,1.5,48.3,74.7,11.1,16.6,11.1,152,1,1,7
12/8/2017,watford,liverpool,1601,1835,235,6.66,1.2,49.3,75.5,11.6,17.6,8.7,452,9,6.99,2.2,58,83.8,16.8,16.8,11.6,8,1,0,6
12/8/2017,west_bromwich_albion,bournemouth,1642,1651,323,6.63,0.8,42.8,72.4,9.9,15.9,8.4,620,203,6.65,1.2,48.5,77,12.2,13.4,9,154,1,1,1
12/8/2017,southampton,swansea,1689,1647,197,6.67,1,51,77.5,11.8,17.3,10,239,207,6.59,0.7,46,78.2,8.9,16.4,8.4,300,1,0,0
12/8/2017,chelsea,burnley,1907,1626,31,6.94,1.6,54.4,84.3,15.9,16.7,13.5,23,157,6.78,0.9,45.1,70.5,9.9,14,5.7,121,1,2,5
12/8/2017,crystal_palace,huddersfield,1640,1471,185,6.84,1.2,46.9,75.4,12.5,18,12.7,151,255,6.61,0.7,46.4,74,9.5,19.6,7.3,193,1,2,3
12/8/2017,everton,stoke,1749,1660,128,6.67,1.2,46.7,74.3,9.4,16.9,6.9,180,304,6.7,0.9,43.7,71.5,10.1,17.9,8.6,599,1,1,1
12/8/2017,brighton,manchester_city,1581,1864,218,6.69,0.9,45.1,74.9,10.1,15.7,7.8,165,12,7.15,2.8,66.4,89,17.5,14.8,13.2,10,1,2,2
13/8/2017,newcastle_united,tottenham,1621,1885,211,6.72,1,43.8,72.3,11.9,16.9,8,168,19,6.95,1.9,58.8,83.8,16.4,16.3,11.5,13,1,2,2
13/8/2017,manchester_united,west_ham,1855,1670,13,6.98,1.8,53.9,83.6,13.5,14.8,12.3,11,199,6.72,1.3,46.5,75.5,9.8,16.4,11.2,225,1,1,4
19/8/2017,swansea,manchester_united,1654,1864,207,6.59,0.7,46,78.2,8.9,16.4,8.4,300,13,6.98,1.8,53.9,83.6,13.5,14.8,12.3,11,1,2,4
19/8/2017,leicester,brighton,1715,1580,162,6.74,1.5,48.3,74.7,11.1,16.6,11.1,152,218,6.69,0.9,45.1,74.9,10.1,15.7,7.8,165,1,1,2
19/8/2017,liverpool,crystal_palace,1842,1620,9,6.99,2.2,58,83.8,16.8,16.8,11.6,8,185,6.84,1.2,46.9,75.4,12.5,18,12.7,151,1,1,1
19/8/2017,bournemouth,watford,1649,1609,203,6.65,1.2,48.5,77,12.2,13.4,9,154,235,6.66,1.2,49.3,75.5,11.6,17.6,8.7,452,1,2,2
19/8/2017,burnley,west_bromwich_albion,1646,1653,157,6.78,0.9,45.1,70.5,9.9,14,5.7,121,323,6.63,0.8,42.8,72.4,9.9,15.9,8.4,620,1,2,1
19/8/2017,southampton,west_ham,1690,1668,197,6.67,1,51,77.5,11.8,17.3,10,239,199,6.72,1.3,46.5,75.5,9.8,16.4,11.2,225,1,1,5
19/8/2017,stoke,arsenal,1659,1853,304,6.7,0.9,43.7,71.5,10.1,17.9,8.6,599,25,6.92,1.9,58.5,84.3,15.6,16.4,10.1,25,1,1,1
20/8/2017,huddersfield,newcastle_united,1499,1619,255,6.61,0.7,46.4,74,9.5,19.6,7.3,193,211,6.72,1,43.8,72.3,11.9,16.9,8,168,1,1,1
20/8/2017,tottenham,chelsea,1894,1895,19,6.95,1.9,58.8,83.8,16.4,16.3,11.5,13,31,6.94,1.6,54.4,84.3,15.9,16.7,13.5,23,1,2,3
